"","Day","temp_type","temp"
"490",164,"Mean",35
"491",164,"Min",31
"492",164,"Max",38
"493",165,"Mean",35
"494",165,"Min",32
"495",165,"Max",38
"496",166,"Mean",39
"497",166,"Min",34
"498",166,"Max",44
"499",167,"Mean",42
"500",167,"Min",38
"501",167,"Max",46
"502",168,"Mean",43
"503",168,"Min",37
"504",168,"Max",48
"505",169,"Mean",44
"506",169,"Min",38
"507",169,"Max",49
"508",170,"Mean",48
"509",170,"Min",42
"510",170,"Max",54
"511",171,"Mean",40
"512",171,"Min",37
"513",171,"Max",42
"514",172,"Mean",35
"515",172,"Min",31
"516",172,"Max",38
"517",173,"Mean",32
"518",173,"Min",30
"519",173,"Max",33
"520",174,"Mean",34
"521",174,"Min",31
"522",174,"Max",36
"523",175,"Mean",40
"524",175,"Min",35
"525",175,"Max",44
"526",176,"Mean",45
"527",176,"Min",43
"528",176,"Max",46
"529",177,"Mean",51
"530",177,"Min",44
"531",177,"Max",58
"532",178,"Mean",53
"533",178,"Min",44
"534",178,"Max",62
"535",179,"Mean",45
"536",179,"Min",40
"537",179,"Max",50
"538",180,"Mean",50
"539",180,"Min",44
"540",180,"Max",55
"541",181,"Mean",49
"542",181,"Min",43
"543",181,"Max",54
"544",182,"Mean",39
"545",182,"Min",34
"546",182,"Max",44
"547",183,"Mean",31
"548",183,"Min",28
"549",183,"Max",34
"550",184,"Mean",30
"551",184,"Min",27
"552",184,"Max",32
"553",185,"Mean",33
"554",185,"Min",27
"555",185,"Max",39
"556",186,"Mean",39
"557",186,"Min",35
"558",186,"Max",42
"559",187,"Mean",38
"560",187,"Min",33
"561",187,"Max",42
"562",188,"Mean",49
"563",188,"Min",41
"564",188,"Max",56
"565",189,"Mean",35
"566",189,"Min",21
"567",189,"Max",49
"568",190,"Mean",21
"569",190,"Min",19
"570",190,"Max",22
"571",191,"Mean",16
"572",191,"Min",9
"573",191,"Max",23
"574",192,"Mean",15
"575",192,"Min",8
"576",192,"Max",21
"577",193,"Mean",26
"578",193,"Min",19
"579",193,"Max",33
"580",194,"Mean",20
"581",194,"Min",16
"582",194,"Max",23
"583",195,"Mean",28
"584",195,"Min",18
"585",195,"Max",37
"586",196,"Mean",37
"587",196,"Min",35
"588",196,"Max",39
"589",197,"Mean",27
"590",197,"Min",17
"591",197,"Max",36
"592",198,"Mean",24
"593",198,"Min",16
"594",198,"Max",32
"595",199,"Mean",30
"596",199,"Min",25
"597",199,"Max",35
"598",200,"Mean",32
"599",200,"Min",20
"600",200,"Max",43
"601",201,"Mean",25
"602",201,"Min",17
"603",201,"Max",32
"604",202,"Mean",37
"605",202,"Min",31
"606",202,"Max",42
"607",203,"Mean",39
"608",203,"Min",36
"609",203,"Max",42
"610",204,"Mean",36
"611",204,"Min",32
"612",204,"Max",40
"613",205,"Mean",31
"614",205,"Min",25
"615",205,"Max",36
"616",206,"Mean",36
"617",206,"Min",31
"618",206,"Max",40
"619",207,"Mean",34
"620",207,"Min",28
"621",207,"Max",39
"622",208,"Mean",36
"623",208,"Min",33
"624",208,"Max",39
"625",209,"Mean",37
"626",209,"Min",31
"627",209,"Max",42
